as_of_date,published_date,country,category,visa_status,pd_year,pd_month,count,suppressed,source_url
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,6,107,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,6,160,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,6,1655,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,7,47,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,7,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,7,19,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,7,13,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,7,24,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,7,20,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,7,26,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,7,69,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,7,154,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,7,3687,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,8,46,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,8,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,8,11,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,8,14,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,8,18,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,8,13,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,8,35,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,8,86,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,8,302,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,8,1292,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,9,44,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,9,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,9,11,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,9,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,9,16,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,9,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,9,34,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
